attack,defense,hp,icon_url,name,sp_atk,sp_def,speed,total,type
318,45,,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Bulbasaur,49,49,65,318,"Grass,Poison"
405,60,,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Ivysaur,62,63,80,405,"Grass,Poison"
525,80,,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Venusaur,82,83,100,525,"Grass,Poison"
625,80,,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Venusaur,100,123,122,625,"Grass,Poison"
309,39,,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Charmander,52,43,60,309,Fire
405,58,,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Charmeleon,64,58,80,405,Fire
534,78,,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Charizard,84,78,109,534,"Fire,Flying"
634,78,,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Charizard,130,111,130,634,"Fire,Dragon"
634,78,,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Charizard,104,78,159,634,"Fire,Flying"
314,44,,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Squirtle,48,65,50,314,Water
405,59,,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Wartortle,63,80,65,405,Water
530,79,,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Blastoise,83,100,85,530,Water
630,79,,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Blastoise,103,120,135,630,Water
195,45,,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Caterpie,30,35,20,195,Bug
205,50,,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Metapod,20,55,25,205,Bug
395,60,,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Butterfree,45,50,90,395,"Bug,Flying"
195,40,,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Weedle,35,30,20,195,"Bug,Poison"
205,45,,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Kakuna,25,50,25,205,"Bug,Poison"
395,65,,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Beedrill,90,40,45,395,"Bug,Poison"
495,65,,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Beedrill,150,40,15,495,"Bug,Poison"
251,40,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Pidgey,45,40,35,251,"Normal,Flying"
349,63,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Pidgeotto,60,55,50,349,"Normal,Flying"
479,83,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Pidgeot,80,75,70,479,"Normal,Flying"
579,83,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Pidgeot,80,80,135,579,"Normal,Flying"
253,30,,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,56,35,25,253,Normal
253,30,,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata,56,35,25,253,"Dark,Normal"
413,55,,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,81,60,50,413,Normal
413,75,,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate,71,70,40,413,"Dark,Normal"
262,40,,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Spearow,60,30,31,262,"Normal,Flying"
442,65,,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Fearow,90,65,61,442,"Normal,Flying"
288,35,,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Ekans,60,44,40,288,Poison
448,60,,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,Arbok,95,69,65,448,Poison
320,35,,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Pikachu,55,40,50,320,Electric
430,45,,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,Pikachu,80,50,75,430,Electric
485,60,,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Raichu,90,55,90,485,Electric
485,60,,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Raichu,85,50,95,485,"Electric,Psychic"
300,50,,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Sandshrew,75,85,20,300,Ground
300,50,,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Sandshrew,75,90,10,300,"Ice,Steel"
450,75,,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Sandslash,100,110,45,450,Ground
450,75,,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Sandslash,100,120,25,450,"Ice,Steel"
275,55,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,Nidoran♀,47,52,40,275,Poison
365,70,,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Nidorina,62,67,55,365,Poison
505,90,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Nidoqueen,92,87,75,505,"Poison,Ground"
273,46,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,Nidoran♂,57,40,40,273,Poison
365,61,,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Nidorino,72,57,55,365,Poison
505,81,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Nidoking,102,77,85,505,"Poison,Ground"
323,70,,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Clefairy,45,48,60,323,Fairy
483,95,,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Clefable,70,73,95,483,Fairy
299,38,,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Vulpix,41,40,50,299,Fire
299,38,,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Vulpix,41,40,50,299,Ice
505,73,,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Ninetales,76,75,81,505,Fire
505,73,,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Ninetales,67,75,81,505,"Ice,Fairy"
270,115,,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Jigglypuff,45,20,45,270,"Normal,Fairy"
435,140,,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Wigglytuff,70,45,85,435,"Normal,Fairy"
245,40,,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Zubat,45,35,30,245,"Poison,Flying"
455,75,,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Golbat,80,70,65,455,"Poison,Flying"
320,45,,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Oddish,50,55,75,320,"Grass,Poison"
395,60,,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Gloom,65,70,85,395,"Grass,Poison"
490,75,,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Vileplume,80,85,110,490,"Grass,Poison"
285,35,,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,Paras,70,55,45,285,"Bug,Grass"
405,60,,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,Parasect,95,80,60,405,"Bug,Grass"
305,60,,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,Venonat,55,50,40,305,"Bug,Poison"
450,70,,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,Venomoth,65,60,90,450,"Bug,Poison"
265,10,,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Diglett,55,25,35,265,Ground
265,10,,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Diglett,55,30,35,265,"Ground,Steel"
425,35,,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Dugtrio,100,50,50,425,Ground
425,35,,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Dugtrio,100,60,50,425,"Ground,Steel"
290,40,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Meowth,45,35,40,290,Normal
290,40,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,35,35,50,290,Dark
290,50,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,65,55,40,290,Steel
440,65,,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Persian,70,60,65,440,Normal
440,65,,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Persian,60,60,75,440,Dark
320,50,,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Psyduck,52,48,65,320,Water
500,80,,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Golduck,82,78,95,500,Water
305,40,,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,Mankey,80,35,35,305,Fighting
455,65,,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,Primeape,105,60,60,455,Fighting
350,55,,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Growlithe,70,45,70,350,Fire
350,60,,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,Growlithe,75,45,65,350,"Fire,Rock"
555,90,,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Arcanine,110,80,100,555,Fire
555,95,,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,Arcanine,115,80,95,555,"Fire,Rock"
300,40,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Poliwag,50,40,40,300,Water
385,65,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Poliwhirl,65,65,50,385,Water
510,90,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Poliwrath,95,95,70,510,"Water,Fighting"
310,25,,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Abra,20,15,105,310,Psychic
400,40,,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Kadabra,35,30,120,400,Psychic
500,55,,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Alakazam,50,45,135,500,Psychic
600,55,,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Alakazam,50,65,175,600,Psychic
305,70,,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Machop,80,50,35,305,Fighting
405,80,,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Machoke,100,70,50,405,Fighting
505,90,,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Machamp,130,80,65,505,Fighting
300,50,,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,Bellsprout,75,35,70,300,"Grass,Poison"
390,65,,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,Weepinbell,90,50,85,390,"Grass,Poison"
490,80,,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,Victreebel,105,65,100,490,"Grass,Poison"
335,40,,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Tentacool,40,35,50,335,"Water,Poison"
515,80,,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Tentacruel,70,65,80,515,"Water,Poison"
300,40,,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,Geodude,80,100,30,300,"Rock,Ground"
300,40,,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Geodude,80,100,30,300,"Rock,Electric"
390,55,,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,Graveler,95,115,45,390,"Rock,Ground"
390,55,,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Graveler,95,115,45,390,"Rock,Electric"
495,80,,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,Golem,120,130,55,495,"Rock,Ground"
495,80,,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Golem,120,130,55,495,"Rock,Electric"
